German,English
sollen,must
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,This
Moment,moment
bleiben,stay
brauchen,to need
Weil,because
Kinder,children
unter,under
Arbeit,work
Für,for
Problem,problem
dafür,Therefore
Herr,Mr. 
Haben,Have
wegen,because
geht's,Let's
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,your
ne,ne
gegen,against
Weißt,Whisper
Sag,say
schnell,fast
nun,well
eines,one
brauche,need
Abend,evening
hatten,had
Jahre,Years
Mach,Make up
Bruder,Brothers
Sache,Matter
hören,Listen
komm,come over
Sohn,Son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,may be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,Go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,ready
gefunden,found
seid,are
kam,came
nehmen,take
morgen,tomorrow
sprechen,to speak
Mir,To me
sofort,right away
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,I agree
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,wicked
Recht,Right
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
deinem,your
Ende,End
He,Head
Dinge,things
Namen,Name
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,For real
bekommen,receive
Männer,men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,waiting
Glück,Luck
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,To you
mache,make
Von,Of
Uhr,watch
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,their
Halt,Just
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,make up
Gib,Give
vorbei,past
verstehe,understand
danke,Thank you
drin,in it
Im,in the
Name,Surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,ward
denken,think
Noch,still
dran,your turn
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,reason
toll,Great
Bis,until
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,very
Hand,hand
darf,may
